2021-06-30 10:06:357 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 10:06:673 INFO  HomePage :31 - Clicking on element [[ChromeDriver: chrome on WINDOWS (eb84674fb6e169d354e3ce09445852d4)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-30 10:06:710 INFO  HomePage :39 - Getting text from element [[ChromeDriver: chrome on WINDOWS (eb84674fb6e169d354e3ce09445852d4)] -> xpath: //div[@class='page-title']]
2021-06-30 10:06:494 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 10:06:325 INFO  HomePage :31 - Clicking on element [[ChromeDriver: chrome on WINDOWS (4075cec18e467a9b1ccfdcd6100af5b6)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-30 10:06:345 INFO  HomePage :39 - Getting text from element [[ChromeDriver: chrome on WINDOWS (4075cec18e467a9b1ccfdcd6100af5b6)] -> xpath: //div[@class='page-title']]
2021-06-30 10:06:128 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 10:06:867 INFO  HomePage :31 - Clicking on element [[ChromeDriver: chrome on WINDOWS (d43f21d8f48ffadbb52f3fee3a6169cc)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-30 10:06:893 INFO  HomePage :39 - Getting text from element [[ChromeDriver: chrome on WINDOWS (d43f21d8f48ffadbb52f3fee3a6169cc)] -> xpath: //div[@class='page-title']]
2021-06-30 10:06:661 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 10:06:525 INFO  HomePage :31 - Clicking on element [[ChromeDriver: chrome on WINDOWS (741fae8c5da1a1bdb2536a3ed1a6add8)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
2021-06-30 10:06:560 INFO  HomePage :39 - Getting text from element [[ChromeDriver: chrome on WINDOWS (741fae8c5da1a1bdb2536a3ed1a6add8)] -> xpath: //div[@class='page-title']]
2021-06-30 10:06:345 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 10:06:226 INFO  HomePage :31 - Clicking on element [[ChromeDriver: chrome on WINDOWS (40b42161e75b9a911df84fb4bfcc32dd)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]
